Start	End	Open	High	Low	Close	Volume	Market Cap	TVL
18-11-2021	19-11-2021	2803.0471	3209.3786	2766.7972	2796.6573	271523904.9	2867204919	17255607812
17-11-2021	18-11-2021	2807.807532	2818.984767	2674.6603	2803.5496	113536830.8	2731462180	18187183956
16-11-2021	17-11-2021	3021.2527	3021.2527	2728.5608	2809.447	129166393.8	2830576191	17901243703
15-11-2021	16-11-2021	3043.742631	3139.5033	2988.9141	3026.28434	107082470.1	3027727309	18905642134
14-11-2021	15-11-2021	3128.2256	3178.382754	2941.7384	3041.58	159228012	3019063438	19067082309
13-11-2021	14-11-2021	2882.644079	3184.857218	2882.0268	3133.858013	140772775.6	2987130987	19211370436
12/11/2021	13-11-2021	2995.308046	3008.0027	2803.7371	2882.238927	102463006.4	2889620163	19342337382
11/11/2021	12/11/2021	2959.544626	3064.331233	2914.28882	3003.100401	163073754.1	2971719392	19515509152
10/11/2021	11/11/2021	3133.639185	3208.757657	2860.411179	2947.765773	129272211.6	3090585685	19186245413
9/11/2021	10/11/2021	3301.68808	3301.68808	3101.060575	3134.0607	254414372.6	3174827005	19678486050
8/11/2021	9/11/2021	2971.009262	3384.680315	2964.096136	3298.88431	220436394.5	3156181007	19753787030
7/11/2021	8/11/2021	3025.054861	3057.076899	2917.749321	2965.996917	160380168	2968863770	18901321808
6/11/2021	7/11/2021	2949.018419	3090.031507	2813.6465	3020.842463	153051562.7	2911169734	18554112015
5/11/2021	6/11/2021	3013.166641	3014.3406	2865.079949	2953.875995	209477110.9	2914338838	18448384332
4/11/2021	5/11/2021	3218.399603	3232.674735	2894.584638	2998.470484	741724553.1	3016247356	18087440013
3/11/2021	4/11/2021	2811.996205	3592.878262	2811.996205	3237.988578	743490691.9	3099385876	18345630064
2/11/2021	3/11/2021	2451.619426	2854.6208	2436.099392	2822.972701	176587179.3	2574079647	18140882278
1/11/2021	2/11/2021	2419.421035	2538.6659	2355.238995	2453.188489	123308297.9	2420347830	17442259682
31-10-2021	1/11/2021	2378.03	2422.20137	2334.1596	2420.44717	88937397.63	2358020146	17310759536
30-10-2021	31-10-2021	2451.812825	2468.6462	2358.6034	2372.8533	88274850.86	2405527602	17335522624
29-10-2021	30-10-2021	2377.1871	2465.6896	2370.047	2452.193118	102451027.9	2413971254	17560228205
28-10-2021	29-10-2021	2229.1293	2407.2532	2221.7075	2377.1871	119604616.7	2306133323	17205990334
27-10-2021	28-10-2021	2461.6367	2503.251291	2218.615708	2237.9317	152790527.3	2315529361	16255279199
26-10-2021	27-10-2021	2474.191	2549.9969	2448.1603	2462.9268	135032777	2481321470	16557135014
25-10-2021	26-10-2021	2435.4648	2478.3774	2433.3493	2474.191	85350243.96	2434096160	16746802704
24-10-2021	25-10-2021	2521.2088	2529.6637	2389.4888	2435.4648	66312071.83	2453306842	16332225357
23-10-2021	24-10-2021	2520.7714	2542.6422	2500.0519	2521.2088	69098593.27	2499250329	16602206381
22-10-2021	23-10-2021	2572.900522	2621.362568	2502.7313	2523.5839	112929809	2549868962	16040226245
21-10-2021	22-10-2021	2595.6407	2698.8338	2555.616173	2574.850115	120433727.8	2588112016	16420148215
20-10-2021	21-10-2021	2495.0009	2597.4678	2465.1592	2594.5823	94288524.25	2500109302	16403191185
19-10-2021	20-10-2021	2507.4942	2524.3343	2463.5327	2496.8404	73987587.49	2471819816	15339298680
18-10-2021	19-10-2021	2553.1329	2578.8911	2446.1381	2507.4942	77248325.72	2484028719	15020501536
17-10-2021	18-10-2021	2602.6093	2635.0242	2496.5171	2553.1329	72046143.27	2565873132	15228201811
16-10-2021	17-10-2021	2569.047893	2664.0414	2562.6716	2607.9795	86563339.5	2581139136	15151631711
15-10-2021	16-10-2021	2538.571506	2595.162	2491.6718	2569.047893	131573301.4	2521598609	15189467640
14-10-2021	15-10-2021	2493.5257	2611.1045	2483.8928	2540.388362	106217751.6	2512176252	14595045318
13-10-2021	14-10-2021	2441.236976	2493.5257	2378.2217	2493.5257	99352110.29	2418777211	13925331008
12/10/2021	13-10-2021	2446.0258	2488.179989	2365.9549	2436.648866	117620658.6	2402310192	13634497944
11/10/2021	12/10/2021	2462.2526	2557.824162	2401.4836	2446.0258	123689326.9	2470659553	13595404805
10/10/2021	11/10/2021	2574.7662	2701.113083	2462.1106	2463.3486	146688114.9	2563745063	13296824988
9/10/2021	10/10/2021	2497.6753	2587.0693	2476.027345	2574.7662	85441659.17	2510204362	13634056991
8/10/2021	9/10/2021	2501.376	2572.4168	2467.8832	2496.0854	89098570.69	2497174510	13527950295
7/10/2021	8/10/2021	2493.007215	2534.825972	2426.839723	2501.376	104406689	2467804743	13533783010
6/10/2021	7/10/2021	2547.427712	2584.994184	2396.3477	2496.0571	105796417.3	2473188816	13515278074
5/10/2021	6/10/2021	2546.1671	2582.63556	2495.466768	2548.457992	115543562.2	2518052322	13273531507
4/10/2021	5/10/2021	2541.5788	2546.806	2394.508954	2541.7132	105356307.3	2450899020	12890288233
3/10/2021	4/10/2021	2485.100972	2600.382424	2451.266005	2539.49	110405063.3	2502274047	12942124030
2/10/2021	3/10/2021	2440.406778	2554.891428	2391.16036	2483.3668	127702144.6	2447526586	12872983158
1/10/2021	2/10/2021	2284.6476	2469.133173	2270.695	2435.106754	119001395.3	2353137581	12570604770
30-09-2021	1/10/2021	2230.0514	2310.1409	2221.4771	2284.6476	98333733.19	2249607237	11765466991
29-09-2021	30-09-2021	2227.1988	2311.71	2183.8056	2228.3923	116797107.6	2240627131	11485228843
28-09-2021	29-09-2021	2243.87182	2412.271562	2227.153403	2227.8062	150791069.9	2286778996	11414662738
27-09-2021	28-09-2021	2347.705	2412.672891	2249.5336	2251.710294	241929838.8	2331256448	11687908348
26-09-2021	27-09-2021	2263.4421	2549.581827	2168.9256	2348.6773	334680404.9	2357674127	11923964398
25-09-2021	26-09-2021	2295.4973	2323.0407	2209.621976	2268.2148	116616620.8	2253619057	11618710550
24-09-2021	25-09-2021	2489.0273	2499.7841	2184.8162	2290.1661	166042925.9	2310294779	11645289729
23-09-2021	24-09-2021	2528.766666	2562.7563	2458.5361	2485.7084	102308247.4	2499061799	12216671226
22-09-2021	23-09-2021	2285.6566	2540.2406	2273.805893	2521.885064	124770923.4	2411540816	11943280947
21-09-2021	22-09-2021	2420.4769	2536.9289	2254.514471	2275.2004	159563632.3	2425201925	11178765669
20-09-2021	21-09-2021	2767.8632	2767.8632	2403.656829	2431.6715	116826212.1	2533582915	11485379666
19-09-2021	20-09-2021	2844.0728	2879.5018	2737.4016	2767.8632	62108423.52	2795391558	12743776789
18-09-2021	19-09-2021	2789.4736	2901.732851	2757.3109	2838.1075	122916061.7	2824521778	13053141026
17-09-2021	18-09-2021	2972.0085	2984.565961	2763.9496	2783.979	165844982.3	2830927688	12972402865
16-09-2021	17-09-2021	3070.7	3153.419167	2924.3622	2973.0122	167802068.6	3046459802	13345439159
15-09-2021	16-09-2021	2914.2929	3073.7858	2835.612742	3057.2203	133527301.5	2896516160	13333661674
14-09-2021	15-09-2021	2811.737199	2940.9634	2800.320621	2886.389	94909257.67	2833567552	12994871974
13-09-2021	14-09-2021	2880.6933	2897.3018	2671.155022	2818.634074	112791109.7	2743217368	12655483668
